zip,covidrate
60610,7432.3
60611,5967.4
60614,6711.7
60615,4766.3
60617,8495.9
60618,7836.2
60622,8463.2
60623,11843.6
60625,7766
60626,7689.5
60629,14290.6
60630,8616.4
60631,9302.7
60634,12158.7
60636,8725.9
60637,5999.5
60638,12121.4
60639,14742
60640,5848.1
60641,11417.4
60642,8529.3
60643,7686
60644,7819.8
60645,8803.3
60646,8493.2
60647,8914.5
60651,11093.4
60652,10925.4
60653,7037.4
60654,9218.7
60655,10904.7
60656,9576.1
60657,6399.5
60659,8722.1
60660,5584.8
60661,7072.3
Unknown,0
60601,6180.6
60606,8610.1
60603,5792.2
60666,NA
60607,7728.7
60621,6721.3
60707,4749.1
60602,7475.9
60604,11381.1
60608,9288.6
60612,8755.2
60613,6435.5
60619,6268.6
60633,9595.2
60649,6275
60605,6108.5
60609,10744
60616,6029.7
60827,1007.8
60620,6761
60624,7920.8
60628,6639.3
60632,13648
