zip,covidrate
10001,4381.98
10002,6190.7
10003,3990.53
10004,7200.26
10005,3505.68
10006,3932.82
10007,4305.26
10009,4997.28
10010,4071.6
10011,4128.98
10012,4314.95
10013,4549.1
10014,4146.88
10016,4906.5
10017,4272.01
10018,3697.88
10019,4565.46
10021,3989.05
10022,4288.56
10023,3541.46
10024,3754.36
10025,4567.78
10026,5537.4
10027,4992.54
10028,3715.41
10029,6623.22
10030,5702.11
10031,6482.16
10032,7197.33
10033,6953.44
10034,7071.19
10035,7261.63
10036,5436.43
10037,5602.75
10038,4679.73
10039,5614.26
10040,8101.66
10044,4172.43
10065,4179.35
10069,5044.1
10075,5411.27
10128,4134.31
10280,2781.87
10282,3248.42
10301,9376.7
10302,10554.52
10303,9478.52
10304,10554.62
10305,10460.57
10306,11506.09
10307,10119.26
10308,9684.53
10309,10628.56
10310,9658.07
10312,9889.81
10314,9859.08
10451,8641.01
10452,9120.84
10453,8912.32
10454,8408.73
10455,8397.43
10456,7192.61
10457,8245.89
10458,7958.62
10459,8766.97
10460,8385.61
10461,9800.84
10462,8589.16
10463,7784.65
10464,7560.56
10465,9401.18
10466,7841.81
10467,8748.9
10468,9544.87
10469,8247.38
10470,8944.9
10471,8521.23
10472,8320.2
10473,9010.24
10474,7665.6
10475,7604.6
11004,6691.47
11101,6393.28
11102,7189.28
11103,6279.81
11104,6211.41
11105,5719.84
11106,6398.85
11109,4980.26
11201,3672.9
11203,6474.86
11204,8081.73
11205,5128.78
11206,6355.67
11207,7475.98
11208,8392.18
11209,6481.58
11210,7127.74
11211,6291.13
11212,7433.05
11213,6445.69
11214,7049.57
11215,3284.77
11216,4570.88
11217,4421.26
11218,6973.36
11219,7962.7
11220,7271.32
11221,5773.52
11222,4866.65
11223,9423.05
11224,9310.41
11225,5496.08
11226,6186.63
11228,6867.04
11229,8593.17
11230,10588.46
11231,4013.2
11232,7834.38
11233,5181.41
11234,6641.78
11235,10390.34
11236,6257.39
11237,6520.75
11238,4551
11239,9744.82
11354,6546.88
11355,7317.42
11356,8179.18
11357,7203.97
11358,5690.55
11360,5660.16
11361,5654.02
11362,5005.05
11363,5003.48
11364,4760.66
11365,6054.99
11366,7305.67
11367,7606.44
11368,8814.01
11369,11321.01
11370,8930.89
11372,9282.71
11373,8828.69
11374,8588.25
11375,6339.58
11377,8812.81
11378,7171.03
11379,7481.61
11385,7529.78
11411,6277.45
11412,7304.93
11413,6522.11
11414,8501.89
11415,7963.75
11416,8920.17
11417,9416.48
11418,8854.45
11419,9683.55
11420,9240.09
11421,9440.82
11422,7246.27
11423,8548.93
11426,7280.45
11427,8017.71
11428,8605.6
11429,6944.73
11432,8175.5
11433,7036.87
11434,6990.36
11435,7956.85
11436,7708.6
11691,9331.95
11692,7104.43
11693,7354.72
11694,8975.24
11697,13765.19
