zip,covidrate
98001,5964
98002,8369
98003,7397
98004,2302
98005,2158
98006,1892.0000000000002
98007,3665.9999999999995
98008,2742
98010,3424
98011,2174
98014,2359
98019,2089
98022,4554
98023,5989
98024,2500
98027,2631
98028,2358
98029,1842.0000000000002
98030,6616
98031,6270
98032,6931.999999999999
98033,2319
98034,3057
98038,3219
98039,2094
98040,1970
98042,4380
98045,3307
98047,7070
98051,3561
98052,1803
98053,1236
98055,4859
98056,4471
98057,6082
98058,3953
98059,3221
98065,2508
98070,1001
98072,2136
98074,1489
98075,1977
98077,1568
98092,4880
98101,2942
98102,2124
98103,1945
98104,4264
98105,2382
98106,4672
98107,1721
98108,5027
98109,2381
98112,1889.9999999999998
98115,1704
98116,2580
98117,1862
98118,5272
98119,1748.9999999999998
98121,2204
98122,2322
98125,2923
98126,3188
98133,3446
98134,5926
98136,2165
98144,4200
98146,5766
98148,5433
98155,3359.0000000000005
98158,0
98164,36943
98166,3961
98168,7259.999999999999
98177,2602
98178,5062
98188,7722
98195,0
98198,6223
98199,1773
98224,323
98288,802
98354,714
98422,24
